name,avg_Hs,StdDev_Hs,N_Hs,N_0Hs
Hs_CEU,0.174173846815066,0.15776539942541,8326,7422
Hs_NE,0.104959712736038,0.138935480395214,14344,1404
Hs_NEU,0.199256763880593,0.154991776267127,7438,8310
Hs_PNW,0.147420947511386,0.157523743116931,10159,5589
Hs_SEU,0.244303645421392,0.152253825298586,5144,10604
Hs_WEU,0.195112621693199,0.155264510473311,7751,7997
